zip,values
98822,1.04232966136271
98821,0
98357,0
98663,0
98684,0
98848,1.04232966136271
99166,0.787878787878788
98851,0
99103,0
99357,0
98520,0.659991690955745
98260,1.10030204000792
98282,0.90728566706038
98278,0
98368,1.38944953738543
98030,1.22986810090941
98198,1.49347207153499
98001,1.16931594475945
98112,2.28288101944597
98058,1.37205387858352
98052,1.78534296866661
98056,1.48173379296608
98077,1.46616719145356
98023,1.17571362737337
98002,1.16705942313937
98354,1.11530547892365
98070,1.4424924172871
98065,1.48947841194834
98164,1.53055555555556
98353,0
98937,0
98672,0
98613,0
98533,0
98585,0
98304,0
99013,0
99029,0
98833,0
98834,0
98819,0
98527,0
98644,0
98640,0.934895833333333
98621,0
99119,0
98371,1.13520511065266
98406,1.09377082133587
98385,0
98335,1.13087579297844
98396,1.0989010989011
98349,0.771017798408217
98447,0
98221,1.5
98280,0
98279,0
98297,0
98241,0.947368421052632
98232,0
98263,0
99203,0
99003,0
99207,0
99025,0
99110,0
99114,0
99109,0
99179,0
99128,0
98908,0
99344,0
98852,0
98836,0
98811,0
98817,0
98331,0.87824023366192
98674,0.633802816901408
98682,0.678571428571429
99361,0
98581,0
98649,0
99118,0
99141,0
99330,0
99335,0
99321,0
98824,0
98575,0
98376,0
98109,2.40304997676066
98103,2.03303240357219
98121,2.80180804119209
98011,1.69332256539452
98022,1.12467567143623
98003,1.24719864653712
98154,0
98174,2.15116279069767
98310,1.06902882379619
98370,1.1786594006515
98922,1.68204419093711
98934,0
98901,0
99322,0
98617,0
98377,0
98356,0.483333333333333
98596,0.678222620786448
98572,0
98542,0
99134,0
99144,0
98560,0
98862,0
98840,0
98577,0.619791666666667
98590,0
98638,0
98641,0
99152,0
98466,1.00557652727026
98424,1.2053141830614
98403,1.30371367948589
98375,0.887068480733155
98261,0
98243,0
98237,0.720327421555252
98238,0
98275,1.54149138646807
98258,1.08983584547674
98290,1.28691438409771
99205,0
99011,0
99223,0
99023,0
99030,0
99148,0
99129,0
98501,1.08043632651565
98503,0.963811631890375
98248,1.02777777777778
98240,0
99174,0
98936,0
98921,0
99346,0
98826,0.815828402366864
98831,0
98363,0.798205489092189
98661,0
98664,0.791666666666667
98601,0
98606,0.510604870384918
98611,0
98645,0
99146,0
99349,0.832070707070707
98832,0
98853,0
98537,0.754830917874396
98563,0.784291089912036
98595,1.16220043572985
98587,0
98358,0.784147842137646
98092,1.18358592246878
98166,1.46796476265097
98155,1.47744128564901
98106,1.6303566079711
98168,1.31946277708548
98158,0
98074,1.4403177717662
98033,1.98721907950282
98072,1.64165211760822
98005,1.75222919682071
98059,1.41307820422793
98008,1.54423594841025
98053,1.68009291925256
98029,1.54936247810719
98224,0.786486486486486
98068,0
98312,1.03980413746717
98311,1.09024250285436
98528,1.23119914734131
98346,1.05011268860305
98628,0
98564,0.738636363636364
98593,0
99008,0
99154,0
98584,0.906452875433549
98524,0.882910590096062
98844,0
98829,0
98849,0
98624,0
98418,1.01422392826219
98388,1.08065539946559
98332,1.01281622471575
98229,0
98651,0.855350553505535
98205,0
98208,1.26952641131476
98296,1.30631889338689
98270,1.09164030888605
98252,1.25279045811524
98223,1.1852099866156
98207,0
99022,0
99202,0
99218,0
99039,0
99018,0
99027,0
99036,0
99019,0
99026,0
99101,0.797806716929404
99126,0
99167,0.615595075239398
99137,0
98597,0.872726008797494
98576,0.974148523545727
99324,0
99363,0
98266,1.1986301369863
99113,0
98953,0.737463126843658
98857,0
99326,0
99345,0
98382,0.807013986980081
98326,0
98642,0
98665,0
98629,0
98685,0.542691751085383
98671,0
98626,0
98632,0
98850,0
99160,0
98552,0
98571,0.832390381895332
98562,0
98559,0
98277,1.03669584379017
98339,0.958333333333333
98119,2.16899250275841
98177,1.52004712692787
98102,2.3574756161528
98199,1.82156024556774
98118,1.68694979467012
98115,1.93986066553906
98134,2.94592283927492
98042,1.33654306834044
98007,1.88359288128328
98039,1.59088273671994
98010,1.21014716277874
98050,0
98288,0
98359,1.08903881106427
98383,1.22301333982906
98345,0.972428435214485
98342,1.05913705583756
98946,0
98605,0
99356,0
98619,0
98532,0.799547250491242
98336,0.795740640169496
98544,0
98827,0
98856,0.493839835728953
98586,0
98614,0
99139,0
98465,1.11757082601003
98421,1.80141806053546
