zip,values
99208,1.08238276299113
99204,0
99012,0
99031,0
99131,0
98516,0.973119830812305
98513,0.925388496696679
98643,0
99323,0
98247,0
98295,0
98276,0
99017,0
99125,0
99143,0
99149,0
98942,0
98932,0
98939,0
99159,0
99032,0
99341,0
99320,0
99352,0
99354,0
98930,0
98944,0
98816,1.24
98828,0.717360114777618
98350,0
98660,0
98662,0
98686,1.18925831202046
98675,0
99359,0
98616,0
98858,0
99121,0
99140,0
99155,0
99301,0.703921304448151
99135,0
99123,0
98860,0
98583,0
98526,0
98547,0
98557,0.828645833333333
98535,1
98136,1.73436438821111
98188,1.3820581971459
98117,1.86873480840083
98144,1.93106381433398
98122,2.3799885819629
98028,1.46788484259554
98034,1.65441316299992
98006,1.51665904863359
98027,1.68697027103765
98019,1.22845191033067
98195,2.38901098901099
98366,0.964853980572559
98340,1.19469501297956
98620,0
98635,0
98670,0
98650,0
98361,0
98538,0
99156,0
98409,1.07262351699073
98444,1.06455118667094
98404,1.01765027384597
98391,0.951967904901945
98445,0.969115353677392
98443,0.620689655172414
98328,0.883508367655093
98416,0
98394,0
98245,0.879924953095685
98274,1.20866935483871
98235,0
98087,1.34034667327427
98043,1.48413297347383
98204,1.35379879133286
98037,1.38707336264051
99170,0
99201,0.810269357126857
99033,0
99181,0
99173,0
99034,0
98506,1.0659905998991
98647,0
98264,0
99161,0
99171,0
99130,0
99136,0
98903,0
98948,0.793994413407821
